ID,PosX,PosY,batch
0.0,0.7589577436447144,0.4119729995727539,0.0
1.0,0.7622388005256653,0.4052393138408661,0.0
2.0,0.7720546126365662,0.4274320900440216,0.0
3.0,0.7638794183731079,0.41215986013412476,0.0
4.0,0.913385808467865,0.5654410123825073,1.0
5.0,0.9244589805603027,0.566512405872345,1.0
6.0,0.9026609063148499,0.550716757774353,2.0
7.0,0.918502151966095,0.5413134098052979,2.0
8.0,0.9183534979820251,0.5515123009681702,2.0
9.0,0.907866358757019,0.5420606732368469,2.0
10.0,0.8877831101417542,0.5355310440063477,3.0
11.0,0.9074336886405945,0.5579721927642822,3.0
12.0,0.9039308428764343,0.5388678908348083,3.0
13.0,0.8470615744590759,0.49168860912323,4.0
14.0,0.8682841658592224,0.5122069120407104,4.0
15.0,0.852416455745697,0.5188170671463013,4.0
16.0,0.9031605124473572,0.5387556552886963,5.0
17.0,0.8809188008308411,0.5449860692024231,5.0
18.0,0.9358331561088562,0.5568817257881165,5.0
19.0,0.777076780796051,0.5023840069770813,5.0
20.0,0.8622557520866394,0.44965383410453796,5.0
21.0,0.7978428602218628,0.48536011576652527,5.0
22.0,0.785602867603302,0.6457879543304443,5.0
23.0,0.9476515650749207,0.523095965385437,5.0
24.0,0.9795262813568115,0.5710008144378662,5.0
25.0,0.9102948307991028,0.5292174220085144,5.0
26.0,0.9800171256065369,0.642747700214386,5.0
27.0,0.8222405910491943,0.5223159790039062,5.0
28.0,0.8540000915527344,0.6062985062599182,5.0
29.0,0.7777204513549805,0.5072858333587646,5.0
30.0,0.8869255781173706,0.6026510000228882,5.0
31.0,0.8976005911827087,0.39908742904663086,5.0
32.0,0.9158116579055786,0.5858156681060791,5.0
33.0,0.8681653738021851,0.46280211210250854,5.0
34.0,0.8963578939437866,0.42029324173927307,5.0
35.0,0.8570075631141663,0.494493305683136,5.0
36.0,0.7579317092895508,0.39783012866973877,5.0
37.0,0.8878623247146606,0.3717048168182373,5.0
38.0,0.851136326789856,0.6282342672348022,5.0
39.0,0.8490996360778809,0.5498443245887756,5.0
